countrydescription,ccode,isiccode,y2018_01,y2018_02,y2018_03,y2018_04,y2018_05,y2018_06,y2018_07,y2018_08,y2018_09,y2018_10,y2018_11,y2018_12,y2019_01,y2019_02,y2019_03,y2019_04,y2019_05,y2019_06,y2019_07,y2019_08,y2019_09,y2019_10,y2019_11,y2019_12,y2020_01,y2020_02,y2020_03,y2020_04,y2020_05,y2020_06,y2020_07,y2020_08,y2020_09,y2020_10,y2020_11,y2020_12
China,CHINA,C,120.1081101,120.1229855,119.7631121,122.2461211,122.3185095,122.5360798,123.5591288,124.1737913,124.3655459,125.4059638,125.3934271,126.2231085,126.5146427,126.5375045,128.1654146,126.819138,128.6032174,130.1882285,130.5422656,131.7889332,132.8645179,133.6309616,135.3735609,136.4052318,100.7879898,99.03694985,120.9402868,128.4808237,132.8286992,136.4428583,139.8226919,142.1125448,144.5809705,146.3210472,147.8722453,149.2744269
Latin America,DC3,C,101.5068234,101.0702856,102.9440197,101.5285356,97.80414496,101.7122313,101.2460086,101.4323114,100.219362,100.1164688,100.1885319,99.04789173,99.85990188,100.722706,99.91450033,101.1437323,100.9760291,99.8900188,100.2428493,100.2522053,99.76600448,100.1474741,99.32898425,99.06157058,100.2238067,100.3529993,91.12300165,67.67317609,72.98660876,85.65225333,93.43736037,95.37761783,98.65502131,100.2911392,101.2926029,102.8086814
Developing and EIE (excl. China),DEIEC,C,110.1744114,109.773196,109.9708467,110.2170095,107.4609741,109.0377065,108.9223022,109.7972127,109.0321755,109.5618657,109.2310055,108.7897773,109.0969104,109.3302678,109.9576287,110.9001855,109.8391353,107.4837757,109.4486414,108.3984516,108.0630237,108.1968711,109.9121496,109.821591,110.7427275,111.1999279,97.65014566,66.44216269,79.476674,94.06337763,101.7633716,104.2025621,108.142893,110.591428,111.7671433,113.1509985
Industrialized Economies,IC,C,104.991599,105.197204,105.5201451,105.7838782,106.0832206,106.2315772,105.8958661,106.4174809,106.1293654,106.7547338,106.1246224,106.2452852,105.963163,105.9083611,105.8700668,105.5181027,106.0211418,105.4685042,105.7335685,105.3673888,105.6781669,104.8136323,104.7090377,104.4465357,105.8363047,105.1967281,99.1453814,84.31499405,87.24233797,93.9468152,98.43952535,99.59850322,100.9039948,102.1201057,103.559207,103.5574291
North America,IC1,C,102.1202483,103.2201064,103.2785051,103.7897634,103.0221398,103.8331453,104.2747179,104.7282646,104.7348406,104.6321767,104.8330877,105.5065865,104.9007124,104.3524519,104.3338036,103.4232749,103.549789,104.1337758,103.7309722,104.3818966,103.6999571,103.1143999,104.1447685,104.39073,104.2100376,104.1393703,98.93678417,83.27887152,86.46292453,93.24099908,97.20779068,98.50551728,98.5299564,99.84957024,100.6814815,101.6408884
Europe,IC2,C,107.7760245,106.3675517,106.5343966,106.9200748,107.9529101,108.0203548,106.8199039,107.5479586,107.2053448,107.6450251,106.8336242,106.8179919,107.4459733,107.9128168,108.1004561,107.1732865,107.9978253,106.9018351,106.9137947,106.6114678,107.0972347,106.7875328,106.0071835,104.2487592,106.4923551,106.8107539,96.50863394,78.59152055,86.8013779,95.02633926,100.0178876,100.9978576,101.4373984,102.9652809,105.6281062,104.309001
East Asia,IC3,C,104.2738673,106.0141115,106.91582,106.6409994,107.1990516,106.5441676,106.6189733,106.8438469,106.3807504,108.2763722,106.8788022,106.3942155,104.9975272,104.7289675,104.2348285,105.5600177,106.0336823,104.9086275,106.3935535,104.5593221,105.9643867,103.7536157,103.183041,104.6951469,106.7779398,103.7985412,103.7416634,94.62878204,88.38295619,92.65183074,97.24430005,98.51930509,102.9144047,103.4828913,103.7858433,104.644616
World,WORLD,C,110.1042493,110.1770363,110.2827676,111.1988794,111.0457924,111.3947779,111.4876407,112.0812749,111.8745298,112.6102493,112.2000527,112.458955,112.4203824,112.4248442,112.9619956,112.4800755,113.1636329,113.0140705,113.5198366,113.5430814,113.9979164,113.7404162,114.4102757,114.5511952,104.9662863,104.1372503,105.3853365,95.08714656,99.70867798,106.4961132,111.0652231,112.7192831,114.7002218,116.2263721,117.6653068,118.2524603
World,WORLD,C10,109.010701,109.618002,109.9002654,109.7654684,109.8403711,110.1430612,110.5236404,110.737232,110.0788729,110.4193739,110.5109274,110.706814,112.0891559,112.0571323,112.2098348,112.3348734,111.9838626,112.2041498,112.1769827,111.9730313,111.6474865,111.849698,111.936502,112.3600231,108.1302566,108.2228496,112.084626,107.8805537,107.8124646,110.1248452,111.4077227,111.2420616,112.045309,112.1216518,112.0178297,111.0386051
World,WORLD,C11,106.0413785,106.5801405,107.4971714,107.8395076,107.8550536,107.9205203,108.1236541,109.0222745,108.1767706,108.3807353,108.016535,108.5895111,109.4171469,108.7652034,109.9457908,109.6991592,108.7180837,109.9410184,109.0956657,109.1100421,110.5523744,109.2708454,110.0646488,111.3830277,104.9184873,104.8994096,104.5513824,91.64759216,97.52969732,105.2995996,108.4823162,109.5426705,110.1347246,110.3060765,109.6510881,108.1526446
World,WORLD,C12,94.34288559,95.3834132,95.15676884,96.19712158,93.59373129,94.78822565,92.69427107,93.8491962,94.09256499,92.93384576,94.30533838,93.5264954,96.39228341,97.01729291,94.79006168,93.81334443,94.62444405,94.87067207,92.00505836,92.79036213,92.07105422,93.78581663,91.72450275,93.59076398,93.18319344,91.88410308,89.1792908,87.52561569,90.51223584,91.88928972,92.04311413,92.652593,92.64239082,91.85319611,92.36619427,89.90495181
World,WORLD,C13,106.6818848,106.8652115,105.8163745,106.4732642,106.5393619,106.4374686,106.5276733,106.7885967,106.2102182,106.6876683,105.9080321,105.9552551,106.20502,106.0854073,106.0559537,106.0013166,105.6105839,105.6843255,107.0051937,106.8117865,107.4454036,107.0780974,108.1651512,107.9654371,109.3614099,88.02077132,89.64338925,78.43730896,88.74226699,96.74882982,103.4537643,106.627931,107.9799368,109.6377851,109.7669589,110.6910952
World,WORLD,C14,109.9093002,109.2099521,109.6120618,111.2262662,110.6736112,110.1541448,111.2499118,112.0023534,111.8958113,112.5168163,110.6858818,110.6697527,111.5303701,111.8513434,113.089558,111.8822367,111.5536171,112.1678458,112.5566859,110.4122672,109.5769571,108.923114,110.1288006,109.4971881,90.21671714,90.03525356,94.8022693,84.51934519,91.31443658,95.9835947,98.25753709,98.746184,100.4694854,100.2588036,98.85391688,99.08074353
World,WORLD,C15,106.3301722,106.4269795,106.7056855,107.2243203,107.8363658,108.516734,108.2294556,107.5850713,108.1872914,109.1263773,108.9194163,108.4946206,108.7248268,109.3578525,110.3464707,109.9509718,109.1045632,109.3652514,109.1920937,108.1323167,107.1459017,105.7780059,106.1594079,104.5146559,86.99406124,86.81962518,92.40943469,77.87988815,87.50250584,92.42434265,93.32600538,95.78137969,95.27499107,95.89388222,94.73052719,93.84775317
World,WORLD,C16,110.9374245,111.2897844,110.2716282,110.7864171,110.5390374,112.154491,111.6511592,112.4685427,112.560868,112.0748146,111.1184286,111.5574852,112.0802408,111.5186214,111.2729387,111.2649712,111.8630726,110.8937447,111.7792837,111.9126531,111.6785442,112.5935152,112.545832,112.5647126,104.2076038,102.7498118,105.2446277,96.33129227,102.3755573,107.0814999,109.688319,111.6207577,112.5543223,114.2473963,115.1869929,115.4250477
World,WORLD,C17,103.6745777,103.1469738,103.3003278,103.6893407,103.3834568,103.6844279,103.7900358,103.9992932,103.6499831,103.7060647,103.4481379,103.5455658,103.6967871,102.9037336,102.6758919,102.7189383,102.7105123,101.5383952,103.0495148,103.0068252,102.6820856,102.7976177,102.8364026,102.8152251,98.34292697,97.70787811,102.345106,99.65428459,95.64408328,96.66492706,98.23829252,99.10801785,100.7712605,102.1776004,102.5929699,103.0213776
World,WORLD,C18,101.2607726,101.4960339,101.2769332,101.4306897,101.422138,101.452901,101.8597566,101.2396525,100.974076,101.5847603,100.9295581,100.6462268,100.462622,99.83915795,99.49065944,99.3407917,99.18028443,99.73291339,99.18566245,99.40332763,99.26053713,98.0447994,98.73219121,98.32536493,91.02798279,91.6795372,90.99488427,79.08533759,81.69165645,85.70640426,89.24830866,89.38069083,90.65823526,92.19944677,92.22181983,92.61727628
World,WORLD,C19,105.6429287,103.4900953,104.5705323,105.4465308,106.6083213,106.3231322,106.922489,106.5686626,106.1253037,105.9222574,105.4852654,105.61749,106.3510351,105.4596832,105.4834337,105.6981725,105.7388956,105.5867248,106.6876042,107.328613,106.5170349,106.4770024,106.0738562,106.6908214,103.8221676,102.4080234,100.7562936,89.11939407,92.65844632,94.84757786,96.0441512,96.01625912,98.5639173,99.07388283,99.12414205,99.83760684
World,WORLD,C20,107.1994932,107.3480311,107.3105068,108.5482016,109.1104687,109.0603901,109.6932299,110.0386308,109.5522467,109.6810221,109.2426735,109.7384124,110.198277,110.0993415,110.2779825,110.0718867,110.0560263,110.0000244,110.3946812,110.2464519,110.5418999,110.6191801,110.8540588,110.9314564,104.7804526,105.0581563,108.5541557,105.7708515,105.771306,107.5029465,109.7106016,111.3735912,112.461538,114.2031252,114.437527,115.9381092
World,WORLD,C21,111.7409806,110.6323218,112.8633401,112.731431,113.3554025,114.5885767,115.0756895,115.443621,114.6295066,114.9579843,116.6109335,115.764106,116.0665658,116.7778206,117.6231936,116.3507292,118.6249876,120.8876078,119.4322377,119.9268334,120.6725126,119.999077,118.0033527,118.1445343,114.7989039,116.1701829,126.7263934,122.9858276,118.4286709,119.9485038,119.4202187,121.0575632,125.6462594,121.321741,123.1199697,122.5361701
World,WORLD,C22,108.4158952,108.5061277,108.4982253,108.5724803,108.25341,108.5881756,108.4932964,108.3752154,108.2866926,108.7354927,108.4494884,109.3376639,109.0522204,108.8200955,108.6903025,107.7315177,108.8623423,108.8657628,108.8255271,108.3544079,108.6810586,108.0614811,109.0233533,108.6880641,100.407172,100.5719928,100.3844772,88.44067246,91.95548954,99.87625428,104.8583844,107.2991772,109.7251909,111.854264,111.8505993,113.0976711
World,WORLD,C23,108.9313989,109.4004743,108.1822292,110.0451144,109.9800387,110.8617688,110.8201861,111.0538205,111.3413506,112.6121442,111.4845227,112.8396408,112.877629,112.6118049,113.8541012,113.0560533,113.5272541,113.7397645,114.6778953,114.6602798,114.8103106,114.7430012,115.8097381,116.1760408,102.8664792,102.6482887,104.5949121,96.19116576,105.2476571,111.1112217,114.05914,116.552157,117.7722854,119.8532312,120.9553009,121.7459616
World,WORLD,C24,104.0216666,104.497845,105.1147046,105.4128423,105.8030838,105.9315928,106.2003791,107.0417206,107.6376227,108.3006205,108.9380567,108.804231,108.3468223,109.1563729,109.3836393,109.6720648,110.5012754,110.3634651,110.5646747,110.5427699,110.6634454,110.3075566,110.8230268,111.1670168,103.9924988,106.2254387,105.8723742,99.68672024,100.4164732,102.783003,105.9799019,109.0414924,111.3442421,113.1877177,114.6132399,116.381464
World,WORLD,C25,106.8111501,107.3976397,106.688376,107.7549745,107.6767442,107.7563483,107.8035929,108.9085455,108.4011488,109.1070779,108.3712454,108.7306582,109.527416,109.3266539,110.0376694,108.2174616,108.8293371,108.6820161,108.8660042,107.9343381,108.2528027,108.0800468,108.3032135,108.2188472,100.8971168,101.1846475,100.471489,87.96600137,92.83135479,98.21054029,102.0639092,105.0181021,107.024788,108.3587545,109.5060982,109.8581327
World,WORLD,C26,120.1100666,119.781681,121.9982208,122.8580867,123.0738897,123.6298148,125.139089,125.3488582,124.9587579,126.8554996,125.9895752,125.9207142,125.3136274,126.5695178,126.2506459,128.3640046,128.9757882,130.0228826,131.3785933,132.1210832,133.505679,134.7651557,135.1406412,135.9039212,125.0629247,127.4508781,131.1921127,128.7273128,130.960138,135.7656957,138.9059061,141.4457161,142.7792972,142.7947622,145.8187378,148.0795095
World,WORLD,C27,113.0861684,113.9138581,114.0784242,114.9607551,115.0327143,114.7977451,115.7225952,115.9692577,115.5097328,116.7751118,116.4522879,117.5697278,116.8382991,117.6316503,118.8613938,118.9066797,120.6916862,120.6976327,119.9212246,120.1031565,121.3511991,120.6820781,121.6702672,122.6651318,102.0315169,102.8660149,114.7816422,113.1028761,115.5565722,120.5867423,124.934841,126.2421827,128.4128241,132.1169268,132.999122,133.6247088
World,WORLD,C28,113.7604519,113.829998,114.3806228,115.0061102,114.484448,114.8279491,115.1689486,116.0663246,115.8547242,117.0605475,115.8204847,116.2819017,115.2345897,115.1418272,115.5684446,114.7206733,115.4672646,114.941947,114.7963056,114.527803,116.2261202,114.6984968,114.6764361,115.8914492,102.4259672,101.9504279,104.3626349,99.70337833,103.7207,108.723205,111.0928739,111.6767982,113.2781194,115.7092168,117.4962092,117.9437426
World,WORLD,C29,113.8248316,115.0497519,116.5643214,116.4676952,114.9528647,116.2795796,113.7818719,114.5364786,114.9682261,114.8508198,114.0055107,115.2001142,113.0459018,113.3117162,113.5198316,111.3386913,113.6896956,112.8332725,112.6704446,112.7470788,111.5793311,108.6781902,111.7099563,110.434641,100.5580939,100.0521688,87.37394118,53.66595218,66.35780884,90.29111226,105.111672,106.6331368,111.6279241,114.8907575,115.7831796,115.6153171
World,WORLD,C30,100.6930763,100.3657457,100.4713692,102.254453,101.6041306,102.2430683,102.4115906,103.8009582,103.7529098,104.993558,105.6438278,107.1557613,106.3256439,106.4715611,107.5114385,105.9640628,107.2820312,105.9474804,107.8012122,106.298368,107.0056667,106.5083739,107.4445808,106.1269697,97.09012227,96.10073014,94.34888879,76.41394016,80.86930033,85.9579709,90.84040646,93.32348453,95.79716887,96.60755087,97.60468167,98.23302956
World,WORLD,C31,107.7300858,108.4421422,108.0562068,108.303827,108.3097582,108.9021851,108.0349572,107.9088609,108.1840225,108.5250526,108.6810837,107.6396042,108.2913273,108.4320063,108.9346602,108.8786225,109.698312,109.6294013,108.6016313,108.0152263,108.1481998,107.7204478,108.1732564,108.4006779,99.58674718,99.66834882,97.14896368,76.98090323,89.08598455,98.76677367,103.8504263,106.1936763,106.512881,107.2689629,106.1328494,107.1158809
World,WORLD,C32,106.51764,107.4255616,107.1540973,107.8895416,109.4007397,109.5597599,108.8310301,110.2443892,109.8643142,111.3311641,110.5302012,110.7313974,110.7963985,111.2038706,110.5736858,110.8541106,110.7140459,109.7555785,110.7862896,110.1187604,110.3577663,110.5439786,110.4745913,111.0930003,103.232149,102.7683424,98.87867682,87.91034037,89.8780927,96.56315142,103.0263118,105.3463377,105.897159,107.2325601,109.5658075,110.0873453
World,WORLD,C33,105.5150752,105.5120754,108.3429228,107.7132871,107.8228189,108.2184207,106.6076795,108.6627686,110.3665319,109.6873982,109.4839282,108.6322534,107.156595,107.9617474,108.5594165,109.7064749,110.3411331,108.7186806,108.5359243,108.1838989,107.5254537,108.8544193,110.0029133,108.6032866,109.947123,111.045228,99.45853881,85.52737128,89.75442572,94.43630511,99.55089897,99.30690304,101.0424874,102.5971589,100.5589268,98.97550978
World,WORLD,LT,106.917899,107.051237,107.0540973,107.5525456,107.568121,107.7709196,107.9414735,108.3167392,107.8895808,108.1996778,107.8183705,107.9364675,108.8000104,108.5729401,108.8384122,108.4365555,108.3889849,108.441133,108.6398964,108.3197229,108.2156031,108.0844921,108.3127393,108.5037922,102.530441,100.8108033,102.3943817,93.36946206,96.92729113,101.0678191,103.6501505,104.7707215,106.0492662,106.7386159,106.8227058,106.6559871
World,WORLD,MHT,112.7682143,112.956197,113.987631,114.6673349,114.4321576,114.9720346,115.1052875,115.6649366,115.4305914,116.2699443,115.7880836,116.3303782,115.5703551,115.9924591,116.3555271,115.9527691,117.1383909,117.1710801,117.3660476,117.4112108,118.0580903,117.3176377,118.0237518,118.1867986,107.5121741,107.9824759,109.3563224,99.29441087,103.1130451,110.9213731,115.9832467,117.6248896,120.1184221,121.5894605,123.0298398,123.8376678
World,WORLD,MT,106.7566181,107.16869,107.1640451,107.8083182,108.0451928,108.4305995,108.3010934,108.8899975,109.16208,109.9637639,109.6934519,110.1950734,109.9231974,110.1498089,110.4435566,110.1918895,110.8663423,110.6649851,111.082223,110.8450808,111.0011147,110.8098372,111.5272072,111.6558144,103.0143787,103.6974384,102.9118309,93.69528609,97.54059078,102.8680726,106.9879518,109.4850584,111.2831964,113.1751345,114.1099493,115.1714187
